id,facebook_id,page_name,page_type
4,1408935539376139,Mark Bailey MP - Labor for Miller,politician
5,134464673284112,Victor Dominello MP,politician
6,282657255260177,Jean-Claude Poissant,politician
7,239338246176789,Deputado Ademir Camilo,politician
11,837707072929819,Eliziane Gama,politician
17,603089303044139,Digvijaya Singh,politician
20,200750393327673,Françoise Guégot,politician
33,139151419572310,Lance Gooden,politician
34,324560137683033,Ivan ŠTEFANEC,politician
40,180099508994152,張宏陸,politician
46,391321314263162,Eduardo Barbosa,politician
51,346648178719588,Ulli Sima,politician
59,89324781720,Pat Toomey,politician
60,1493838274166939,Jean Rioux,politician
62,153947391339205,Manolo Jiménez Salinas,politician
67,1435115400134833,Jennifer Newman,politician
71,1008920055906510,Monika Lazar,politician
73,139782149374162,Benjamin Strasser,politician
77,1415528252047590,Fernando Ruas,politician
78,728733757210856,Victoria Prentis,politician
82,345612838830323,Mike Nahan,politician
89,617957021581571,Michal Rozin מיכל רוזין,politician
93,388614157893904,Vilson Covatti,politician
95,473799242678553,Fabiana Dadone,politician
97,698128143679780,Kevin Michel MLA,politician
103,169014523134260,林淑芬,politician
106,145794842231097,Chad Griffith - Lake Macquarie,politician
108,84890878270,Dan Drew,politician
109,113077252063553,Bronisław Komorowski,politician
113,404948826259784,Senator James McGrath,politician
114,165787053523275,"Philippe Noguès, une voix de gauche",politician
116,440677362630997,Sebastian Galmarini,politician
118,19027744005,Vesna Pusić,politician
129,173347701125,Governor Jan Brewer,politician
138,121538151580066,Peter Kraus,politician
144,62894440884,Bajnai Gordon,politician
145,177828029071801,Michael Leutert,politician
146,1403712706511292,Uwe Schünemann MdL,politician
155,175986319185315,Kátia Abreu,politician
156,1385983704957396,Jakob von Weizsäcker,politician
176,174970176018,Horacio Rodríguez Larreta,politician
180,268340433322523,Gavin Shuker MP,politician
186,433213220061734,曹嘉豪,politician
187,464998863536680,Bill Shorten MP,politician
191,205987562783277,Ruth Ellen Brosseau,politician
195,851584041550394,Mauricio Osorio Domínguez,politician
200,516725565030981,Brendan Boyle,politician
202,441907505922632,Paolo De Castro,politician
203,199793346871881,Benedita da Silva,politician
209,294019144024664,Ileana Argentin,politician
210,796065777123932,Karen Ludwig,politician
211,888931797828199,Ryszard Wilczyński,politician
212,351338968253034,Dilma Rousseff,politician
216,355565337903738,Dagmar Ziegler MdB,politician
217,330250343871,Jeremy Corbyn,politician
220,610012855796352,Sharon Hodgson,politician
225,231656403567259,Lorenz Caffier,politician
229,419439154823845,Peppe De Cristofaro,politician
230,178872845468327,Metin Hakverdi,politician
231,179486155473577,Kathleen Lynch,politician
234,554739894638025,Councillor Adam Allan,politician
239,617033428501184,Florian Toncar,politician
241,65727594614,Brandon Creighton,politician
244,330566160483024,Sergio Casas,politician
246,669243103118034,Bodo Ramelow,politician
256,984665731564266,Valdis Dombrovskis,politician
257,1131869050241771,Alex Zeyer,politician
268,183554364998416,Richard Acuña N.,politician
269,495669723923221,Παύλος Πολάκης / Pavlos Polakis,politician
272,877944875582234,Ali Atalan,politician
283,798227683607349,Louise Schack Elholm,politician
284,105479482835768,Goodluck Jonathan,politician
290,568839896564552,Marie-Claude Bibeau,politician
291,1469058970026832,Dagoberto Nogueira,politician
293,486301424808499,Ignazio Cassis,politician
302,113413235475306,Murray Rankin,politician
304,12635800428,John Key,politician
311,206759496177133,Ellen Sandell,politician
314,1249194705159064,Antje Tillmann,politician
317,1494712497406878,Tadeu Alencar,politician
