u,v,sign
0,9,0
0,20,1
0,24,0
0,32,-1
0,33,0
0,41,-1
1,8,-1
1,15,0
1,21,1
1,33,-1
1,40,0
1,45,1
2,15,0
2,16,0
2,19,0
2,21,-1
2,22,1
2,23,1
2,35,0
2,40,0
2,43,0
2,46,0
2,49,-1
3,7,1
3,10,0
3,13,0
3,14,0
3,22,0
3,34,0
3,36,-1
3,38,-1
3,42,0
3,45,0
3,46,0
4,7,1
4,8,0
4,16,-1
4,21,1
4,24,0
4,27,0
4,29,1
4,41,-1
5,11,1
5,14,1
5,16,0
5,22,0
5,25,1
5,26,1
5,30,-1
5,34,0
6,16,0
6,27,-1
6,34,-1
6,39,1
6,45,1
6,48,1
7,19,-1
7,49,0
8,13,-1
8,14,0
8,24,0
8,36,0
8,37,0
9,23,-1
9,31,1
9,36,-1
10,24,-1
10,39,1
10,42,1
10,44,1
10,45,1
11,13,0
11,40,-1
11,43,1
11,45,1
13,16,0
13,47,1
13,48,0
13,49,0
14,19,-1
14,20,0
14,27,0
14,28,1
14,35,1
14,48,1
15,16,0
15,20,0
15,27,-1
15,31,0
15,38,-1
15,40,-1
15,42,1
15,43,0
16,26,0
16,31,-1
16,47,0
17,22,-1
17,23,-1
17,25,0
17,29,1
17,32,0
17,37,1
17,39,1
17,43,1
17,48,1
18,21,-1
18,32,0
18,36,1
18,37,-1
18,43,0
19,40,1
19,43,0
19,45,-1
19,47,-1
19,48,0
20,22,-1
20,27,-1
20,41,-1
20,45,0
20,48,1
21,22,-1
21,43,1
22,26,0
22,31,-1
22,34,1
23,25,0
23,26,-1
23,28,-1
23,30,1
23,32,0
24,25,0
24,33,0
24,36,0
25,30,-1
25,31,1
25,32,-1
25,34,0
26,36,0
26,41,-1
26,45,1
27,41,0
27,43,0
27,47,-1
27,49,-1
28,30,-1
28,31,0
28,43,1
28,47,1
29,32,0
29,33,-1
29,43,0
30,41,1
30,42,0
30,46,1
30,47,0
31,38,-1
31,41,-1
31,48,1
32,43,0
32,49,-1
33,35,-1
33,38,0
34,35,-1
34,36,0
34,44,-1
35,37,1
35,43,1
35,46,-1
36,43,0
37,45,1
37,48,1
38,42,-1
39,40,-1
39,41,-1
39,46,-1
41,48,0
42,43,1
42,48,1
43,48,1
46,47,0
46,49,0
40,7,0
7,17,1
17,5,0
5,0,0
0,14,1
19,36,0
36,1,-1
8,32,1
32,25,0
25,15,1
15,28,1
28,13,0
13,30,0
46,34,1
34,29,-1
43,12,1
12,27,0
27,22,1
22,20,0
20,31,1
31,11,1
11,41,-1
41,37,-1
37,33,-1
33,2,1
2,48,-1
48,9,1
9,16,-1
16,45,-1
45,44,0
44,35,1
35,6,1
6,49,1
49,4,0
4,42,1
42,3,0
38,21,0
21,26,1
26,24,0
24,18,0
18,47,0
47,23,-1
23,10,-1
