u,v,sign
0,2,1
0,4,1
0,6,1
0,9,1
0,27,1
0,29,1
1,4,1
1,6,1
1,22,1
1,26,1
2,10,-1
2,15,1
2,22,1
2,27,1
2,31,1
2,32,1
2,33,1
2,34,1
3,7,1
3,8,1
3,10,-1
3,14,-1
3,17,-1
3,19,1
3,22,1
3,24,1
3,34,1
4,6,1
4,12,1
4,14,-1
4,17,-1
4,20,1
4,29,1
5,14,-1
5,16,1
5,18,-1
5,19,1
5,25,1
5,29,1
6,8,1
6,10,-1
6,19,1
6,22,1
6,24,1
7,15,1
7,18,-1
7,21,-1
7,25,1
7,31,1
7,34,1
8,11,1
8,17,-1
8,20,1
8,26,1
8,29,1
8,30,1
9,15,1
9,17,-1
9,25,1
9,28,-1
10,21,1
10,23,1
11,21,-1
11,26,1
11,34,1
12,15,1
12,16,1
12,18,-1
12,21,-1
12,25,1
12,29,1
13,15,1
13,23,-1
13,26,1
13,27,1
13,29,1
13,33,1
14,21,1
15,18,-1
15,22,1
15,24,1
15,30,1
16,30,1
16,33,1
17,19,-1
17,25,-1
17,26,-1
17,28,1
17,31,-1
17,33,-1
18,25,-1
18,27,-1
18,28,1
18,34,-1
19,23,-1
19,32,1
20,22,1
20,23,-1
20,25,1
20,32,1
20,33,1
21,29,-1
21,34,-1
22,26,1
22,28,-1
22,33,1
22,34,1
23,24,-1
23,26,-1
23,27,-1
23,30,-1
23,33,-1
24,25,1
24,28,-1
24,29,1
24,33,1
25,26,1
26,32,1
26,33,1
26,34,1
27,28,-1
27,29,1
28,31,-1
29,31,1
29,33,1
29,34,1
30,32,1
31,33,1
