u,v,sign
0,3,1
0,6,-1
0,7,1
0,9,1
0,11,1
0,14,-1
0,21,1
0,28,1
0,30,1
0,34,1
0,35,1
0,36,1
1,3,1
1,6,-1
1,13,1
1,14,1
1,15,-1
1,19,1
1,32,1
1,34,1
2,3,1
2,5,1
2,24,1
2,32,1
3,6,-1
3,9,1
3,20,1
3,26,1
3,27,1
3,28,1
3,29,1
3,31,1
4,5,1
4,7,1
4,24,1
4,28,1
4,34,1
4,37,1
5,15,-1
5,18,1
5,36,1
5,37,1
6,10,-1
6,25,-1
6,33,-1
6,35,-1
6,37,-1
7,18,1
7,20,1
7,21,1
7,25,1
7,31,1
8,18,1
8,25,1
8,28,1
8,29,1
8,33,1
9,10,1
9,12,1
9,17,1
9,18,1
9,27,1
9,34,1
10,12,1
10,21,1
10,24,1
10,32,1
10,35,1
10,37,1
11,15,-1
11,23,1
11,24,1
11,27,1
11,34,1
11,37,1
12,20,1
12,21,1
12,23,1
12,26,1
12,30,1
12,37,1
13,14,1
13,17,1
13,18,1
13,29,1
14,18,1
14,26,1
14,30,1
14,33,1
14,35,1
15,19,-1
15,31,-1
15,36,-1
16,20,1
16,23,1
16,25,1
16,31,1
16,36,1
17,18,1
17,19,1
17,22,1
17,27,1
17,32,1
17,33,1
17,36,1
18,33,1
19,26,1
19,28,1
19,34,1
20,22,1
20,28,1
20,32,1
21,23,1
21,26,1
21,27,1
21,32,1
21,34,1
22,28,1
22,30,1
22,31,1
22,34,1
23,24,1
23,30,1
23,35,1
24,31,1
24,32,1
24,36,1
25,27,1
25,29,1
25,33,1
25,34,1
25,36,1
26,30,1
26,36,1
28,33,1
28,34,1
29,37,1
30,32,1
30,35,1
30,36,1
32,33,1
