u,v,sign
0,1,1
0,10,1
0,22,1
0,26,1
0,27,1
1,2,1
1,4,1
1,5,1
1,8,1
1,19,-1
1,20,1
2,9,-1
2,20,1
3,9,-1
3,12,1
3,17,1
3,19,-1
3,20,1
3,21,1
3,22,1
3,24,-1
3,25,1
3,27,1
4,7,-1
4,9,-1
4,13,1
4,17,1
4,20,1
4,22,1
4,24,-1
4,29,1
5,8,1
6,7,-1
6,18,1
6,23,1
6,24,-1
7,9,1
7,11,1
7,14,-1
7,16,-1
7,21,-1
7,22,-1
7,23,-1
8,13,1
8,21,1
9,10,-1
9,12,-1
9,19,1
9,25,-1
10,15,1
10,18,1
10,22,1
10,26,1
10,27,1
11,15,-1
11,18,-1
11,24,1
11,29,-1
12,17,1
12,19,-1
12,20,1
12,23,1
12,24,-1
12,26,1
12,27,1
13,15,1
13,18,1
13,23,1
14,21,1
14,22,1
14,25,1
15,18,1
15,20,1
15,21,1
15,23,1
15,28,1
16,17,1
16,27,1
17,23,1
17,25,1
18,20,1
18,22,1
18,25,-1
18,27,1
19,21,-1
19,25,-1
19,29,-1
21,28,1
23,24,-1
23,28,1
24,26,-1
