u,v,sign
0,2,1
0,5,1
0,7,1
0,9,1
0,12,1
0,16,-1
0,21,1
0,23,1
0,32,1
1,13,1
1,14,1
1,16,-1
1,17,1
1,21,1
1,23,1
1,26,1
1,27,-1
1,28,1
1,32,1
2,3,1
2,4,1
2,5,1
2,7,1
2,10,-1
2,16,-1
2,19,1
2,22,-1
2,24,-1
2,32,1
3,4,1
3,16,-1
3,17,1
3,18,1
3,23,1
3,31,1
4,7,1
4,12,1
4,19,1
5,7,1
5,11,1
5,12,1
5,13,1
5,14,1
5,24,-1
5,27,-1
5,30,1
6,7,1
6,9,1
6,13,1
6,19,1
6,21,1
6,32,1
7,12,1
7,13,1
8,20,-1
8,22,1
9,10,-1
9,13,1
9,17,1
9,20,1
9,24,-1
9,25,-1
10,14,-1
10,17,-1
10,18,-1
10,24,1
10,28,-1
10,31,-1
11,18,1
11,22,-1
11,25,-1
11,27,-1
11,28,1
12,13,1
12,16,-1
12,18,1
12,23,1
12,27,-1
12,28,1
13,18,1
13,29,1
13,32,1
14,22,-1
14,31,1
15,31,1
16,17,-1
16,21,-1
16,28,-1
16,32,-1
16,33,-1
17,29,1
17,32,1
17,33,1
18,27,-1
18,28,1
18,33,1
19,23,1
19,26,1
20,30,1
20,32,1
21,23,1
22,25,1
22,26,-1
23,24,-1
23,27,-1
24,27,1
24,30,-1
25,27,1
26,27,-1
26,28,1
26,32,1
28,29,1
28,32,1
29,32,1
30,32,1
