u,v,sign
10,13,1
13,29,1
29,19,1
19,7,1
7,21,1
21,11,1
11,16,1
10,21,1
13,29,1
7,21,1
7,11,1
1,25,1
25,14,1
14,15,1
15,20,1
20,17,1
17,24,1
24,26,1
1,14,1
1,20,1
1,26,1
25,24,1
15,17,1
15,26,1
20,26,1
17,26,1
24,26,1
5,18,1
18,8,1
8,27,1
27,3,1
3,28,1
28,22,1
5,18,1
5,8,1
5,27,1
5,28,1
5,22,1
18,3,1
8,27,1
8,3,1
27,3,1
28,22,1
4,2,1
2,9,1
9,12,1
12,6,1
6,23,1
23,0,1
4,0,1
2,12,1
2,6,1
2,0,1
9,0,1
12,23,1
23,0,1
13,20,-1
13,17,-1
29,14,-1
29,15,-1
19,14,-1
19,24,-1
19,26,-1
7,24,-1
11,17,-1
16,24,-1
10,4,-1
13,4,-1
1,27,-1
15,8,-1
26,27,-1
26,28,-1
14,0,-1
3,23,-1
