u,v,sign
33,4,1
4,7,1
7,12,1
12,14,1
14,39,1
39,0,1
33,0,1
4,14,1
12,39,1
39,0,1
34,1,1
1,31,1
31,35,1
35,6,1
6,19,1
19,29,1
34,31,1
1,6,1
1,19,1
31,6,1
35,6,1
6,29,1
16,17,1
17,21,1
21,2,1
2,36,1
36,15,1
15,8,1
17,2,1
17,36,1
21,2,1
21,8,1
2,15,1
2,8,1
36,15,1
24,27,1
27,37,1
37,20,1
20,28,1
28,9,1
9,5,1
24,27,1
27,37,1
27,28,1
27,5,1
37,28,1
37,9,1
37,5,1
20,28,1
20,9,1
32,38,1
38,3,1
3,26,1
26,11,1
11,13,1
3,11,1
3,13,1
26,11,1
11,13,1
10,18,1
18,23,1
23,30,1
30,22,1
22,25,1
10,22,1
18,23,1
18,30,1
18,22,1
18,25,1
22,25,1
7,35,-1
39,19,-1
33,2,-1
14,36,-1
0,17,-1
0,8,-1
4,20,-1
7,24,-1
7,20,-1
39,9,-1
7,26,-1
39,26,-1
33,18,-1
7,10,-1
34,24,-1
34,9,-1
29,28,-1
1,13,-1
19,3,-1
1,18,-1
6,22,-1
17,24,-1
17,5,-1
8,9,-1
16,3,-1
17,3,-1
36,38,-1
15,26,-1
36,23,-1
27,26,-1
28,11,-1
24,23,-1
37,25,-1
11,10,-1
13,22,-1
