u,v,sign
0,1,1
0,6,-1
0,10,1
0,11,1
0,24,-1
0,25,1
1,2,-1
1,6,-1
1,9,-1
1,12,1
1,14,-1
1,15,1
1,17,1
1,26,1
1,28,-1
2,7,-1
2,10,-1
3,8,-1
3,13,-1
3,19,1
3,21,-1
3,28,1
4,14,1
4,22,1
4,26,-1
4,28,1
5,13,1
5,14,1
5,16,-1
5,20,-1
5,21,-1
6,7,-1
6,27,-1
7,14,-1
7,17,1
7,18,1
7,21,1
7,23,1
7,27,1
8,10,1
8,11,1
8,15,1
8,16,1
8,17,1
8,19,-1
8,24,-1
8,26,1
8,28,-1
9,16,-1
9,19,1
9,21,-1
10,13,-1
10,14,-1
10,18,1
10,23,1
10,25,1
11,12,1
11,14,-1
11,16,1
11,21,1
12,15,1
12,20,1
12,26,1
13,19,1
13,23,-1
13,26,-1
14,15,-1
14,17,-1
14,18,-1
15,25,1
15,27,1
16,25,1
17,21,1
17,23,1
17,28,-1
18,26,1
19,20,-1
20,25,1
21,28,-1
23,25,1
23,28,-1
