u,v,sign
0,1,1
0,13,1
0,21,1
0,22,1
0,26,-1
1,6,-1
1,8,1
1,9,-1
1,19,1
1,24,1
1,25,1
2,5,-1
2,21,1
2,23,1
2,25,1
3,11,1
3,17,1
3,24,1
3,26,-1
4,7,-1
4,9,-1
4,17,1
4,21,1
4,25,1
4,26,-1
5,12,-1
5,20,-1
5,21,-1
5,23,-1
5,28,-1
6,13,-1
6,18,-1
6,28,-1
7,8,-1
7,11,-1
7,13,-1
7,19,-1
7,26,1
7,28,-1
8,11,1
8,21,1
8,26,-1
9,16,-1
10,16,1
10,22,1
11,17,1
11,21,1
11,27,1
11,28,1
11,29,1
12,13,1
12,14,1
12,18,1
13,14,1
13,18,1
13,20,1
13,24,1
13,28,1
14,16,1
14,19,1
14,25,1
15,17,1
15,20,1
15,21,1
15,29,1
16,23,1
16,24,1
17,19,1
17,23,1
18,20,1
18,22,1
19,23,1
19,27,1
20,26,-1
20,27,1
20,28,1
20,29,1
21,23,1
22,23,1
22,26,-1
23,26,-1
25,26,-1
28,29,1
