u,v,sign
1,26,1
26,14,1
14,37,1
37,24,1
24,12,1
12,4,1
4,36,1
36,7,1
7,16,1
1,26,1
1,12,1
1,4,1
1,16,1
26,12,1
26,7,1
14,37,1
14,4,1
12,7,1
4,36,1
4,16,1
8,38,1
38,25,1
25,10,1
10,9,1
9,6,1
6,33,1
33,17,1
17,23,1
23,29,1
8,25,1
8,10,1
8,9,1
8,23,1
38,25,1
25,9,1
25,33,1
25,23,1
10,9,1
33,17,1
33,29,1
17,23,1
23,29,1
21,15,1
15,30,1
30,39,1
39,35,1
35,27,1
27,32,1
32,13,1
13,11,1
11,5,1
21,39,1
21,32,1
21,13,1
21,11,1
15,30,1
15,35,1
15,27,1
15,13,1
15,5,1
30,32,1
30,13,1
30,11,1
30,5,1
39,35,1
39,13,1
39,11,1
35,27,1
35,5,1
27,5,1
32,13,1
32,11,1
32,5,1
13,11,1
13,5,1
22,3,1
3,18,1
18,31,1
31,20,1
20,28,1
28,34,1
34,0,1
0,2,1
2,19,1
22,3,1
22,18,1
22,31,1
22,28,1
22,0,1
22,2,1
3,31,1
3,28,1
3,34,1
18,2,1
31,20,1
31,28,1
31,2,1
20,28,1
20,2,1
20,19,1
28,34,1
28,2,1
34,19,1
1,8,-1
26,38,-1
26,25,-1
26,10,-1
14,33,-1
24,33,-1
24,23,-1
12,10,-1
4,10,-1
7,33,-1
7,23,-1
26,21,-1
37,39,-1
12,15,-1
4,27,-1
4,11,-1
36,30,-1
36,39,-1
7,30,-1
16,15,-1
16,11,-1
1,20,-1
14,34,-1
24,28,-1
12,31,-1
4,34,-1
4,19,-1
7,2,-1
16,31,-1
8,21,-1
8,30,-1
25,39,-1
25,11,-1
10,11,-1
9,21,-1
9,15,-1
9,30,-1
9,32,-1
6,13,-1
33,21,-1
33,27,-1
33,13,-1
23,21,-1
23,39,-1
29,11,-1
8,3,-1
38,2,-1
25,0,-1
10,22,-1
10,3,-1
10,20,-1
10,0,-1
9,18,-1
6,28,-1
6,19,-1
33,19,-1
17,18,-1
17,2,-1
23,2,-1
21,3,-1
21,31,-1
21,19,-1
30,19,-1
39,20,-1
39,34,-1
35,0,-1
27,31,-1
5,34,-1
