node_i,node_j
0,5
0,26
0,25
0,29
0,19
0,21
0,9
0,10
0,23
0,15
0,17
0,12
0,13
0,97
0,48
0,99
0,117
0,58
0,53
0,24
0,4
0,14
0,1
0,3
0,7
0,20
0,22
0,18
0,8
0,2
0,27
0,16
0,11
1,7
1,14
1,4
1,21
1,37
1,5
1,3
1,25
1,18
1,9
1,12
1,20
1,15
1,29
1,24
1,13
1,19
1,23
1,26
1,17
1,10
1,8
1,22
1,16
1,2
1,27
1,11
1,108
2,17
2,26
2,104
2,108
2,62
2,19
2,3
2,22
2,20
2,10
2,9
2,4
2,7
2,5
2,29
2,12
2,18
2,15
2,14
2,23
2,25
2,21
2,8
2,24
2,16
2,13
2,27
2,11
3,12
3,9
3,4
3,17
3,24
3,29
3,7
3,19
3,13
3,22
3,14
3,23
3,20
3,5
3,21
3,89
3,63
3,67
3,71
3,94
3,39
3,108
3,69
3,43
3,118
3,86
3,101
3,72
3,116
3,37
3,97
3,104
3,30
3,15
3,25
3,10
3,18
3,26
3,8
3,16
3,27
3,11
4,5
4,10
4,23
4,25
4,18
4,9
4,12
4,20
4,17
4,13
4,14
4,15
4,21
4,7
4,114
4,62
4,64
4,101
4,36
4,40
4,37
4,97
4,65
4,43
4,30
4,39
4,77
4,69
4,67
4,71
4,72
4,104
4,116
4,63
4,108
4,86
4,29
4,26
4,19
4,24
4,8
4,22
4,16
4,27
4,11
5,24
5,12
5,21
5,25
5,7
5,13
5,14
5,118
5,37
5,39
5,72
5,26
5,19
5,9
5,15
5,17
5,23
5,20
5,29
5,22
5,10
5,8
5,18
5,27
5,16
5,11
7,14
7,9
7,25
7,20
7,29
7,26
7,19
7,12
7,21
7,13
7,17
7,71
7,77
7,74
7,118
7,37
7,59
7,82
7,94
7,99
7,68
7,114
7,44
7,39
7,96
7,108
7,104
7,43
7,30
7,89
7,36
7,72
7,67
7,24
7,22
7,23
7,10
7,15
7,18
7,8
7,27
7,16
7,11
8,22
8,25
8,10
8,77
8,12
8,17
8,13
8,21
8,26
8,9
8,29
8,15
8,23
8,24
8,18
8,19
8,20
8,14
8,16
8,27
8,11
9,18
9,20
9,26
9,17
9,21
9,14
9,23
9,10
9,19
9,12
9,13
9,104
9,101
9,77
9,81
9,43
9,102
9,114
